名称,属性,威力,命中,SP,优先,分类,概率,效果
感染,毒,0,-,25,0,变化,-,★自分が停止状態でない時失敗。自分のスキルのうち1つをランダムで使う
亡霊ミッドナイト,冥,120,100%,10,0,集中,10%,★相手を停止に
ストークマーダー,冥,90,100%,10,0,集中,10%,☆自分を無防備に
シャドウジャベリン,冥,75,100%,15,0,集中,10%,★HPと状態異常を全快し、2ターンの間 停止状態になる
ソウルハウンド,冥,60,-,20,0,集中,10%,★3ターン相手は同じスキルしか使えない
三魂七魄の離散,冥,55,100%,15,0,集中,10%,★相手を麻痺に
シャドウボム,冥,40,100%,30,1,集中,10%,★3ターン相手は同じスキルしか使えない
カロンフェリッジ,冥,0,100%,15,0,扩散,10%,☆まもる系解除
ポルターガイスト,冥,90,100%,15,0,扩散,10%,★HPと状態異常を全快し、2ターンの間 停止状態になる
飢え行く霊魂,冥,100,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
ゴーストウェーブ,冥,80,100%,15,0,扩散,30%,★HPと状態異常を全快し、2ターンの間 停止状態になる
ラヴォルペイン,冥,65,100%,10,0,扩散,10%,★相手を猛毒に
ソウルイート,冥,60,100%,5,0,扩散,10%,★自分の俊敏1段上昇
死者の呼び声,冥,0,-,5,0,变化,-,☆相手の現在HPが多いほど威力が上がる
呪い返し,冥,0,-,20,0,变化,-,☆相手の能力ランクを元に戻す
死神の舞,冥,0,-,10,0,变化,-,☆相手を停止に
呪詛,冥,0,100%,20,0,变化,-,☆相手を毒に
負の嘲笑,冥,0,100%,10,0,变化,-,☆通常攻撃
後ろの正面,冥,0,85%,10,0,变化,-,★自分と相手のアビリティを入れ替える
ゴーストトリック,冥,55,100%,25,0,集中,10%,★相手の場にマイントラップを設置する
怨霊注意,冥,65,100%,10,0,集中,10%,★相手の場にマイントラップを設置する
人魂ウォーキング,冥,55,100%,30,0,扩散,30%,★HPと状態異常を全快し、2ターンの間 停止状態になる
お化けごっこ,冥,65,100%,20,0,扩散,10%,★HPと状態異常を全快し、2ターンの間 停止状態になる
十符・冥,冥,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
積み岩 ,冥,0,-,20,0,变化,-,★防御結界＋防いだスキルの威力が100以上の場合相手に1/8ダメージ
クロスカウンター,斗,0,100%,20,251,集中,10%,☆固定ダメージ（999）
崩山掌,斗,0,100%,20,0,集中,10%,☆HP吸収与えたダメージの1/2
合気の極意,斗,0,100%,20,0,集中,10%,☆まもる系解除
風前の灯,斗,0,100%,15,0,集中,10%,★毎ターンHPが少しずつ回復する
真空破断拳,斗,150,100%,5,0,集中,10%,★自分の集弾・集防・命中1段上昇
メテオインパクト,斗,150,100%,20,253,集中,10%,★相手を毒に
捨命の型,斗,130,90%,10,0,集中,10%,☆4～5ターン拘束
ばくれつゲンコツ,斗,100,50%,5,0,集中,100%,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗
天昇,斗,120,100%,5,0,集中,100%,★自分の集弾・散弾ランクを1段階上昇させる。晴れ時2段階
クロスドライブ,斗,100,100%,10,0,集中,10%,★相手のスキルのうちランダムに2つを4ターン使えなくする。
ダンシングソード,斗,80,100%,10,0,集中,10%,★次のターン終了時に相手を停止状態に
ライフバースト,斗,80,-,10,255,集中,10%,★3ターン相手は同じスキルしか使えない
オーラドレイン,斗,75,100%,10,0,集中,10%,☆固定ダメージ（自分のレベル）
ブレイクショット,斗,75,100%,15,0,集中,10%,☆固定ダメージ（自分の現在HP）自分は戦闘不能
冷静ト情熱ノ狭間,斗,60,100%,10,252,集中,10%,★地相発現「朱雀」
チャージングスタン,斗,55,95%,10,250,集中,10%,★自分の集弾と集防を入れ替える　ランクは変化しない
コークスクリュー,斗,50,90%,10,0,集中,70%,★自分と相手の人形の能力ランクを元に戻す
ストライクショット,斗,40,100%,30,1,集中,10%,★3ターン相手は同じスキルしか使えない
天罰の一撃,斗,0,100%,5,0,扩散,10%,☆自分の最大HP1/3反動
ギガンティック,斗,120,85%,5,0,扩散,10%,★自分の回避2段上昇「カモフラージュ」
震盪,斗,80,100%,20,0,扩散,20%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
アンダーステップ,斗,60,100%,20,0,扩散,100%,★自分の最大HPの50％回復
双突,斗,50,90%,15,0,扩散,10%,☆連続2～5回
ラッシュアタック,斗,25,100%,15,0,扩散,10%,★自分の集弾・俊敏1段上昇
八幡神の加護,斗,0,-,30,0,变化,-,★相手の散弾2段低下
正拳突き,斗,55,100%,25,0,集中,10%,★次のターン終了時に相手を停止状態に
裏拳打ち,斗,80,100%,15,0,集中,10%,★3ターン相手は同じスキルしか使えない
兜割,斗,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
螺旋,斗,70,100%,10,0,扩散,10%,★自分と相手を破滅状態にする
十二符・闘,斗,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
受け身,斗,0,-,10,0,变化,-,★変化スキル反射
奇跡の代償,幻,20,100%,5,0,集中,10%,★天候発現「凪」
廻ル幻想,幻,95,100%,15,0,集中,10%,☆このターンに相手からダメージを受けていると威力倍
夢幻泡影,幻,95,100%,15,0,集中,10%,★自分のアビリティを相手と同じにする
スニーキング,幻,80,100%,5,1,集中,10%,★相手を大火傷に
ミラージュエッジ,幻,80,100%,15,0,集中,10%,★次のターン終了時に相手を停止状態に
奈落の花,幻,80,100%,15,0,集中,30%,☆地相によって威力・属性変化
セントエルモの火,幻,65,100%,20,0,集中,10%,☆固定ダメージ（相手現在HP-自分現在HP）
詐欺玉,幻,60,100%,10,0,集中,10%,☆自分の場の設置物を吹き飛ばす
インビジブルハート,幻,60,-,20,0,集中,10%,★3ターン相手は同じスキルしか使えない
古喰,幻,50,100%,10,0,集中,10%,★相手を麻痺・混乱に
追伐,幻,40,100%,20,0,集中,10%,☆自分が後攻の時威力倍
グラビティブラスト,幻,120,100%,5,0,扩散,10%,★天候発現「黄砂」
水鏡,幻,0,100%,20,251,扩散,10%,☆外した時反動ダメージ1/2
カタストロフィ,幻,95,100%,10,0,扩散,10%,★自分の回避2段上昇「カモフラージュ」
幻惑パンデミック,幻,90,85%,10,0,扩散,30%,★相手のランク補正を自分にコピーする
アンノウンフレア,幻,80,100%,15,0,扩散,30%,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗
不思議な波動,幻,80,100%,10,0,扩散,10%,☆このターンに相手からダメージを受けていると失敗
コンティニュー,幻,0,-,10,0,变化,-,☆相手の5ステからランダムに1段低下
蜃気楼,幻,0,-,15,4,变化,-,☆相手の現在HPが最大HPの半分以下の時威力倍
臨死体験,幻,0,-,20,0,变化,-,☆相手の集弾1段低下
アムネジア,幻,0,-,10,0,变化,-,☆相手の俊敏1段低下
攻撃置換,幻,0,-,10,0,变化,-,☆相手の能力ランク無視
アタックミーン,幻,0,-,10,0,变化,-,☆相手の命中1段低下
クロスチェンジ,幻,0,-,10,0,变化,-,☆相手の能力ランクが高いほど威力が上がる
防御置換,幻,0,-,10,0,变化,-,☆相手より俊敏が低いほど威力が上がる
ガードミーン,幻,0,-,10,0,变化,-,☆相手を暗闇に
虚像,幻,0,-,30,1,变化,-,☆相手を吹き飛ばす
ドッペルゲンガー,幻,0,-,15,1,变化,-,☆相手を衰弱に
イマジネイト,幻,0,-,10,0,变化,-,☆相手を混乱　濃霧時必中　凪時命中半減　成功した時凪・濃霧を解除
正直者の大嘘,幻,0,100%,10,0,变化,-,☆相手を混乱に
ポゼッション,幻,0,-,10,0,变化,-,☆相手を怯み　最初のターンのみ成功
映し身,幻,0,-,10,0,变化,-,☆相手を猛毒に
悪夢の想起,幻,0,100%,10,0,变化,-,☆相手を麻痺に
マインドコントロール,幻,0,100%,15,0,变化,-,☆相手を無防備に
ゴルゴンの瞳,幻,0,75%,20,0,变化,-,★自分と相手の集弾・散弾ランクを入れ替える
酒宴ドランカー,幻,0,100%,15,0,变化,-,★自分と相手の集弾・散弾ランクを入れ替える
幻覚弾,幻,60,100%,30,0,集中,10%,★3ターン相手は同じスキルしか使えない
鏡面世界,幻,60,100%,20,0,集中,30%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
ウィルオウィスプ,幻,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
イマジンフレンド,幻,65,100%,20,0,扩散,10%,★自分の回避2段上昇「カモフラージュ」
十三符・幻,幻,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
陽炎,幻,0,-,10,0,变化,-,★次の行動までに相手のスキルで倒れた場合 相手に999ダメージ
ワードブレイク,幻,0,-,5,0,变化,-,☆連続2回
爆音フルバースト,音,120,100%,5,0,集中,100%,★自分の集防3段上昇
ハイトーンクラッシュ,音,95,100%,10,0,集中,10%,★自分の俊敏2段上昇
ダンシングライン,音,75,95%,10,0,集中,50%,★自分のアビリティを相手と同じにする
幽霊アンサンブル,音,55,95%,15,0,集中,100%,★自分のHPを最大HPの半分減　自分の集弾を最大まで上昇
弾幕オーケストラ,音,120,85%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
ウルトラハイトーン,音,95,100%,10,0,扩散,10%,★自分の場にＦバリア効果（相手の拡散スキル半減）
ハウンドノイズ,音,75,95%,10,0,扩散,50%,★自分の回避2段上昇「カモフラージュ」
夢幻のメロディー,音,60,-,15,0,扩散,10%,★3ターン相手は同じスキルしか使えない
悲哀の旋律,音,55,95%,15,0,扩散,100%,★自分の回避1段上昇
無限音階,音,20,100%,10,0,扩散,10%,★天候発現「極光」
エンカレッジ,音,0,100%,5,0,变化,-,☆相手が持っている消費道具を奪って自分に使う
アップビート,音,0,100%,20,0,变化,-,☆相手が状態異常の時威力倍
ア・テンポ,音,0,-,30,0,变化,-,☆相手を火傷に
ブーイング,音,0,-,20,250,变化,-,★自分の集弾2段上昇
破滅の声,音,0,-,5,0,变化,-,☆相手を怯み
ブレイブソング,音,0,-,20,0,变化,-,★自分の散弾・俊敏1段上昇
激励,音,0,-,20,0,变化,-,★自分の散弾1段上昇
ハピネスダンス,音,0,-,20,0,变化,-,★相手が使おうとしている攻撃スキルをダメージを1.5倍にして使う　後攻になると失敗
鼓舞,音,0,-,20,0,变化,-,★自分の散弾・散防1段上昇
デクレッシェンド,音,0,100%,20,0,变化,-,★相手の集弾2段低下
叫喚,音,0,100%,15,0,变化,-,★自分の散弾3段上昇
金切り声,音,0,100%,20,0,变化,-,★自分の散防2段上昇
怒号,音,0,100%,20,0,变化,-,★自分の散防ランクを1段階上昇させる　次のターン自分の雷属性のスキルの威力倍　
位相反転,音,0,-,20,1,变化,-,☆反動ダメージ1/3　相手を麻痺に
咆哮,音,0,85%,40,0,变化,-,★自分の散防1段上昇
クレーム,音,0,100%,15,0,变化,-,☆反動ダメージ1/4
子守唄,音,0,60%,20,0,变化,-,★自分と相手の集弾・散弾ランクを入れ替える
ハウリング,音,60,100%,30,0,集中,10%,★3ターン相手は同じスキルしか使えない
アンビエント,音,65,100%,20,0,集中,10%,★自分の俊敏2段上昇
ソプラノボイス,音,60,100%,30,0,扩散,10%,★3ターン相手は同じスキルしか使えない
円舞曲,音,65,100%,20,0,扩散,10%,★自分の場にＦバリア効果（相手の拡散スキル半減）
十四符・音,音,60,100%,10,0,扩散,10%,★3ターン相手は同じスキルしか使えない
チューニング,无,0,-,30,0,变化,-,★使ったターン スキルを防ぐ（防御結界）
